region	chr	midPos	Nsites
(68,567)(100,599)(100,600)	scaffold_100	350	501	0.040398
(168,667)(200,699)(200,700)	scaffold_100	450	501	0.041837
(268,767)(300,799)(300,800)	scaffold_100	550	501	0.042575
(368,867)(400,899)(400,900)	scaffold_100	650	501	0.043274
(468,967)(500,999)(500,1000)	scaffold_100	750	501	0.042007
(568,1067)(600,1099)(600,1100)	scaffold_100	850	501	0.041466
(668,1167)(700,1199)(700,1200)	scaffold_100	950	501	0.039100
(768,1267)(800,1299)(800,1300)	scaffold_100	1050	501	0.040798
(868,1367)(900,1399)(900,1400)	scaffold_100	1150	501	0.039063
(968,1467)(1000,1499)(1000,1500)	scaffold_100	1250	501	0.040022
(1068,1567)(1100,1599)(1100,1600)	scaffold_100	1350	501	0.039976
(1168,1667)(1200,1699)(1200,1700)	scaffold_100	1450	501	0.042783
(1268,1767)(1300,1799)(1300,1800)	scaffold_100	1550	501	0.040151
(1368,1867)(1400,1899)(1400,1900)	scaffold_100	1650	501	0.040324
(1468,1967)(1500,1999)(1500,2000)	scaffold_100	1750	501	0.042525
(1568,2067)(1600,2099)(1600,2100)	scaffold_100	1850	501	0.043775
(1668,2167)(1700,2199)(1700,2200)	scaffold_100	1950	501	0.044072
(1768,2267)(1800,2299)(1800,2300)	scaffold_100	2050	501	0.045269
(1868,2367)(1900,2399)(1900,2400)	scaffold_100	2150	501	0.044883
(1968,2467)(2000,2499)(2000,2500)	scaffold_100	2250	501	0.042218
(2068,2567)(2100,2599)(2100,2600)	scaffold_100	2350	501	0.040773
(2168,2667)(2200,2699)(2200,2700)	scaffold_100	2450	501	0.041017
(2268,2767)(2300,2799)(2300,2800)	scaffold_100	2550	501	0.039552
(2368,2867)(2400,2899)(2400,2900)	scaffold_100	2650	501	0.039735
(2468,2967)(2500,2999)(2500,3000)	scaffold_100	2750	501	0.041088
(2568,3067)(2600,3099)(2600,3100)	scaffold_100	2850	501	0.040954
(2668,3167)(2700,3199)(2700,3200)	scaffold_100	2950	501	0.039201
(2768,3267)(2800,3299)(2800,3300)	scaffold_100	3050	501	0.040794
(2868,3367)(2900,3399)(2900,3400)	scaffold_100	3150	501	0.043581
(2968,3467)(3000,3499)(3000,3500)	scaffold_100	3250	501	0.042401
(3068,3567)(3100,3599)(3100,3600)	scaffold_100	3350	501	0.042124
(3168,3667)(3200,3699)(3200,3700)	scaffold_100	3450	501	0.043678
(3268,3767)(3300,3799)(3300,3800)	scaffold_100	3550	501	0.042442
(3368,3867)(3400,3899)(3400,3900)	scaffold_100	3650	501	0.039897
(3468,3967)(3500,3999)(3500,4000)	scaffold_100	3750	501	0.038928
(3568,4067)(3600,4099)(3600,4100)	scaffold_100	3850	501	0.039616
(3668,4167)(3700,4199)(3700,4200)	scaffold_100	3950	501	0.038477
